date,asleep,awake,awakenings,inbed
"2014-01-01","0","0","0","0"
"2014-01-02","0","0","0","0"
"2014-01-03","0","0","0","0"
"2014-01-04","0","0","0","0"
"2014-01-05","0","0","0","0"
"2014-01-06","0","0","0","0"
"2014-01-07","0","0","0","0"
"2014-01-08","0","0","0","0"
"2014-01-09","0","0","0","0"
"2014-01-10","0","0","0","0"
"2014-01-11","0","0","0","0"
"2014-01-12","0","0","0","0"
"2014-01-13","0","0","0","0"
"2014-01-14","0","0","0","0"
"2014-01-15","0","0","0","0"
"2014-01-16","0","0","0","0"
"2014-01-17","0","0","0","0"
"2014-01-18","0","0","0","0"
"2014-01-19","0","0","0","0"
"2014-01-20","0","0","0","0"
"2014-01-21","0","0","0","0"
"2014-01-22","0","0","0","0"
"2014-01-23","0","0","0","0"
"2014-01-24","0","0","0","0"
"2014-01-25","0","0","0","0"
"2014-01-26","0","0","0","0"
"2014-01-27","0","0","0","0"
"2014-01-28","0","0","0","0"
"2014-01-29","0","0","0","0"
"2014-01-30","0","0","0","0"
"2014-01-31","0","0","0","0"
"2014-02-01","0","0","0","0"
"2014-02-02","0","0","0","0"
"2014-02-03","0","0","0","0"
"2014-02-04","0","0","0","0"
"2014-02-05","0","0","0","0"
"2014-02-06","0","0","0","0"
"2014-02-07","0","0","0","0"
"2014-02-08","0","0","0","0"
"2014-02-09","0","0","0","0"
"2014-02-10","0","0","0","0"
"2014-02-11","0","0","0","0"
"2014-02-12","0","0","0","0"
"2014-02-13","0","0","0","0"
"2014-02-14","0","0","0","0"
"2014-02-15","0","0","0","0"
"2014-02-16","0","0","0","0"
"2014-02-17","0","0","0","0"
"2014-02-18","0","0","0","0"
"2014-02-19","0","0","0","0"
"2014-02-20","0","0","0","0"
"2014-02-21","0","0","0","0"
"2014-02-22","0","0","0","0"
"2014-02-23","0","0","0","0"
"2014-02-24","0","0","0","0"
"2014-02-25","0","0","0","0"
"2014-02-26","0","0","0","0"
"2014-02-27","0","0","0","0"
"2014-02-28","0","0","0","0"
"2014-03-01","0","0","0","0"
"2014-03-02","0","0","0","0"
"2014-03-03","0","0","0","0"
"2014-03-04","0","0","0","0"
"2014-03-05","285","49","4","353"
"2014-03-06","339","100","8","455"
"2014-03-07","323","90","9","439"
"2014-03-08","335","151","14","497"
"2014-03-09","299","90","10","407"
"2014-03-10","325","46","5","384"
"2014-03-11","290","73","8","375"
"2014-03-12","372","84","8","468"
"2014-03-13","309","73","8","419"
"2014-03-14","217","106","9","370"
"2014-03-15","179","109","10","302"
"2014-03-16","331","50","5","393"
"2014-03-17","252","111","7","371"
"2014-03-18","304","55","5","410"
"2014-03-19","288","139","10","436"
"2014-03-20","259","93","9","375"
"2014-03-21","250","92","8","355"
"2014-03-22","345","135","12","489"
"2014-03-23","302","101","9","413"
"2014-03-24","253","113","11","379"
"2014-03-25","297","111","10","416"
"2014-03-26","234","81","8","334"
"2014-03-27","270","140","12","447"
"2014-03-28","239","94","10","389"
"2014-03-29","253","144","12","436"
"2014-03-30","214","100","6","369"
"2014-03-31","300","128","10","444"
"2014-04-01","278","134","14","434"
"2014-04-02","267","61","5","335"
"2014-04-03","278","145","12","437"
"2014-04-04","318","114","12","448"
"2014-04-05","389","0","0","389"
"2014-04-06","289","145","12","515"
"2014-04-07","240","144","11","398"
"2014-04-08","244","76","5","332"
"2014-04-09","311","131","13","455"
"2014-04-10","318","51","6","395"
"2014-04-11","286","88","8","394"
"2014-04-12","242","33","3","315"
"2014-04-13","266","110","9","401"
"2014-04-14","208","157","13","382"
"2014-04-15","233","95","7","347"
"2014-04-16","257","105","8","432"
"2014-04-17","249","44","4","325"
"2014-04-18","254","50","6","339"
"2014-04-19","308","117","10","458"
"2014-04-20","323","151","14","486"
"2014-04-21","313","189","13","507"
"2014-04-22","219","110","10","394"
"2014-04-23","267","94","8","389"
"2014-04-24","271","145","13","444"
"2014-04-25","268","92","9","381"
"2014-04-26","351","129","8","550"
"2014-04-27","301","157","13","591"
"2014-04-28","214","91","8","352"
"2014-04-29","267","152","12","450"
"2014-04-30","238","154","12","432"
"2014-05-01","213","161","11","412"
"2014-05-02","371","232","16","674"
"2014-05-03","619","11","1","630"
"2014-05-04","293","167","14","569"
"2014-05-05","271","135","11","413"
"2014-05-06","255","134","12","441"
"2014-05-07","292","69","7","379"
"2014-05-08","313","127","11","447"
"2014-05-09","304","113","11","445"
"2014-05-10","261","158","13","462"
"2014-05-11","303","185","14","506"
"2014-05-12","233","141","11","420"
"2014-05-13","219","161","13","436"
"2014-05-14","271","93","7","400"
"2014-05-15","291","111","8","440"
"2014-05-16","304","122","10","446"
"2014-05-17","218","124","9","373"
"2014-05-18","217","108","9","333"
"2014-05-19","211","82","7","293"
"2014-05-20","300","84","8","396"
"2014-05-21","264","94","9","407"
"2014-05-22","276","89","8","430"
"2014-05-23","246","99","10","363"
"2014-05-24","173","45","5","243"
"2014-05-25","247","125","10","404"
"2014-05-26","230","52","6","320"
"2014-05-27","321","179","15","514"
"2014-05-28","291","85","8","394"
"2014-05-29","277","116","10","408"
"2014-05-30","180","64","5","269"
"2014-05-31","237","122","9","374"
"2014-06-01","304","180","15","534"